3.6;	0.352903;	0.0340711;	0.395504;	-0.120716
3.61;	0.344083;	0.033219;	0.385616;	-0.120709
3.62;	0.335262;	0.032367;	0.375728;	-0.120702
3.63;	0.326441;	0.031515;	0.365841;	-0.120695
3.64;	0.317619;	0.030663;	0.355953;	-0.120689
3.65;	0.308798;	0.029811;	0.346065;	-0.120683
3.66;	0.299977;	0.0289591;	0.336177;	-0.120677
3.67;	0.291155;	0.0281071;	0.326289;	-0.120671
3.68;	0.282334;	0.0272552;	0.316401;	-0.120665
3.69;	0.273512;	0.0264033;	0.306514;	-0.120659
3.7;	0.26469;	0.0255514;	0.296626;	-0.120654
3.71;	0.255868;	0.0246995;	0.286738;	-0.120649
3.72;	0.247046;	0.0238476;	0.27685;	-0.120643
3.73;	0.238224;	0.0229958;	0.266963;	-0.120639
3.74;	0.229401;	0.0221439;	0.257075;	-0.120634
3.75;	0.220579;	0.0212921;	0.247187;	-0.120629
3.76;	0.211757;	0.0204403;	0.2373;	-0.120625
3.77;	0.202934;	0.0195885;	0.227412;	-0.12062
3.78;	0.194111;	0.0187367;	0.217524;	-0.120616
3.79;	0.185289;	0.0178849;	0.207637;	-0.120612
3.8;	0.176466;	0.0170331;	0.197749;	-0.120608
3.81;	0.167643;	0.0161814;	0.187862;	-0.120604
3.82;	0.15882;	0.0153296;	0.177974;	-0.120601
3.83;	0.149997;	0.0144779;	0.168086;	-0.120598
3.84;	0.141174;	0.0136261;	0.158199;	-0.120594
3.85;	0.132351;	0.0127744;	0.148311;	-0.120591
3.86;	0.123528;	0.0119227;	0.138424;	-0.120588
3.87;	0.114705;	0.011071;	0.128536;	-0.120586
3.88;	0.105881;	0.0102194;	0.118649;	-0.120583
3.89;	0.097058;	0.0093677;	0.108761;	-0.120581
3.9;	0.0882347;	0.00851604;	0.0988739;	-0.120578
3.91;	0.0794113;	0.00766439;	0.0889865;	-0.120576
3.92;	0.0705882;	0.00681275;	0.079099;	-0.120569
3.93;	0.0617647;	0.00596112;	0.0692116;	-0.120569
3.94;	0.0529412;	0.00510951;	0.0593242;	-0.120568
3.95;	0.0441176;	0.0042579;	0.0494368;	-0.120567
3.96;	0.0352941;	0.0034063;	0.0395494;	-0.120567
3.97;	0.0264706;	0.00255471;	0.029662;	-0.120566
3.98;	0.0176471;	0.00170313;	0.0197747;	-0.120565
3.99;	0.00882353;	0.000851561;	0.00988734;	-0.120565
4;	7.54952e-15;	7.82545e-16;	8.43769e-15;	-0.117647
4.01;	-0.00882353;	-0.000851552;	-0.00988733;	-0.120564
4.02;	-0.0176471;	-0.0017031;	-0.0197746;	-0.120563
4.03;	-0.0264706;	-0.00255463;	-0.0296619;	-0.120562
4.04;	-0.0352941;	-0.00340616;	-0.0395492;	-0.120562
4.05;	-0.0441176;	-0.00425767;	-0.0494365;	-0.120561
4.06;	-0.0529412;	-0.00510918;	-0.0593238;	-0.12056
4.07;	-0.0617647;	-0.00596068;	-0.0692111;	-0.12056
4.08;	-0.0705882;	-0.00681218;	-0.0790983;	-0.120559
4.09;	-0.0794113;	-0.00766366;	-0.0889855;	-0.120565
4.1;	-0.0882347;	-0.00851514;	-0.0988728;	-0.120566
4.11;	-0.097058;	-0.00936661;	-0.10876;	-0.120567
4.12;	-0.105881;	-0.0102181;	-0.118647;	-0.120568
4.13;	-0.114705;	-0.0110695;	-0.128534;	-0.120569
4.14;	-0.123528;	-0.011921;	-0.138422;	-0.120571
4.15;	-0.132351;	-0.0127724;	-0.148309;	-0.120572
4.16;	-0.141174;	-0.0136238;	-0.158196;	-0.120574
4.17;	-0.149997;	-0.0144753;	-0.168083;	-0.120576
4.18;	-0.15882;	-0.0153267;	-0.17797;	-0.120578
4.19;	-0.167643;	-0.0161781;	-0.187857;	-0.12058
4.2;	-0.176466;	-0.0170295;	-0.197745;	-0.120583
4.21;	-0.185289;	-0.0178809;	-0.207632;	-0.120585
4.22;	-0.194111;	-0.0187323;	-0.217519;	-0.120588
4.23;	-0.202934;	-0.0195837;	-0.227406;	-0.120591
4.24;	-0.211757;	-0.020435;	-0.237293;	-0.120594
4.25;	-0.220579;	-0.0212864;	-0.24718;	-0.120597
4.26;	-0.229401;	-0.0221378;	-0.257067;	-0.1206
4.27;	-0.238224;	-0.0229891;	-0.266954;	-0.120604
4.28;	-0.247046;	-0.0238405;	-0.276841;	-0.120607
4.29;	-0.255868;	-0.0246918;	-0.286728;	-0.120611
4.3;	-0.26469;	-0.0255432;	-0.296616;	-0.120615
4.31;	-0.273512;	-0.0263945;	-0.306503;	-0.120619
4.32;	-0.282334;	-0.0272458;	-0.31639;	-0.120623
4.33;	-0.291155;	-0.0280971;	-0.326277;	-0.120628
4.34;	-0.299977;	-0.0289485;	-0.336164;	-0.120632
4.35;	-0.308798;	-0.0297998;	-0.346051;	-0.120637
4.36;	-0.317619;	-0.0306511;	-0.355938;	-0.120642
4.37;	-0.326441;	-0.0315024;	-0.365825;	-0.120647
4.38;	-0.335262;	-0.0323537;	-0.375712;	-0.120652
4.39;	-0.344083;	-0.033205;	-0.385599;	-0.120658
4.4;	-0.352903;	-0.0340562;	-0.395486;	-0.120663
